ST_B10,latitude,longitude,temperature_2m,Humidity,Wind_Speed,NDVI,NDBI,NDWI,,
43.97898578,17.33546377,78.30771537,29.68843086,48.08804472,0.736680552,0.408567286,-0.052943756,-0.480699421,,
37.40955134,17.4338293,78.48243769,29.97608364,47.0811341,0.848508279,0.576490809,-0.253500601,-0.549259719,,
46.61769722,17.33815872,78.39709774,29.74529462,48.0243818,0.806763646,0.303069185,0.083941981,-0.386727662,,
44.3242058,17.37813375,78.32702915,29.71647553,47.550813,0.690853673,0.310523652,0.096987756,-0.353491443,,
43.0595384,17.41990541,78.39664858,29.86728355,47.12764728,0.770703214,0.268070535,0.050128514,-0.328681715,,
45.6743237,17.27482749,78.47300538,29.94512766,47.48671738,0.874405406,0.3712785,0.018134136,-0.456367025,,
42.00337022,17.45538886,78.49456495,29.77357556,47.01103567,0.82392845,0.251576025,0.037568541,-0.338937877,,
32.99005148,17.43203267,78.4685138,29.97608364,47.0811341,0.848508279,0.141056396,-0.249241936,-0.045039647,, 
40.95403808,17.44595655,78.5799049,30.15452944,47.29115994,0.905859426,0.293499007,-0.045941026,-0.336682284,,
41.92475576,17.4369734,78.48378516,29.97608364,47.0811341,0.848508279,0.153996773,0.040484069,-0.209581239,,
39.95939426,17.42933772,78.43303035,29.86728355,47.12764728,0.770703214,0.216268704,-0.057988813,-0.279252991,,
41.70600248,17.42170204,78.50444642,29.97608364,47.0811341,0.848508279,0.279824175,-0.055641269,-0.340915772,,
44.1191246,17.37903207,78.36116513,29.86728355,47.12764728,0.770703214,0.395080157,-0.004398856,-0.422346179,,
48.33696128,17.27482749,78.5502605,30.1093608,47.5164543,0.926831332,0.353253208,0.054625882,-0.419672624,,
44.70360602,17.36735397,78.35712271,29.86728355,47.12764728,0.770703214,0.354657854,0.084964489,-0.399456476,,
39.87052574,17.42484614,78.41416573,29.86728355,47.12764728,0.770703214,0.440081841,-0.143822232,-0.433416367,,
44.74804028,17.33142136,78.58349816,30.1093608,47.5164543,0.926831332,0.250368217,0.013800901,-0.312062096,,
43.162079,17.46886359,78.38317385,29.68316739,46.75500842,0.74540959,0.493620695,-0.065012024,-0.478039281,,
36.46617782,17.47066022,78.58439648,29.90903685,47.45303408,0.882811497,0.535790794,-0.042307692,-0.528044089,,
44.71386008,17.32468399,78.4271913,29.74529462,48.0243818,0.806763646,0.2584326,0.027296059,-0.345208291,,
46.14942848,17.29144633,78.5066922,29.94512766,47.48671738,0.874405406,0.367493855,0.021726982,-0.427007351,,
33.3523616,17.50389789,78.56912512,29.90903685,47.45303408,0.882811497,0.711283771,-0.323469796,-0.656537246,,
47.31839132,17.2546154,78.55070965,30.1093608,47.5164543,0.926831332,0.392059524,0.027374964,-0.478320476,,
39.46378136,17.46661781,78.59517626,29.90903685,47.45303408,0.882811497,0.394135284,-0.060119009,-0.414986835,,
46.81252436,17.53758471,78.33556314,29.72920759,46.81250449,0.654259583,0.278315368,0.1347049,-0.370736526,,
42.21528746,17.40687984,78.57406585,30.15452944,47.29115994,0.905859426,0.186711349,0.006960087,-0.256525053,,
41.70258446,17.39610006,78.52376019,29.97608364,47.0811341,0.848508279,0.171994618,0.007716266,-0.233131787,,
42.7177364,17.41721046,78.31624936,29.71647553,47.550813,0.690853673,0.627396258,-0.214744027,-0.597985939,,
39.27579026,17.44101582,78.58529479,30.15452944,47.29115994,0.905859426,0.361066248,0.074282725,-0.417549762,,
36.79430774,17.47335517,78.59427794,29.90903685,47.45303408,0.882811497,0.478854076,-0.10404029,-0.501535654,,
36.88659428,17.3372604,78.44785255,29.74529462,48.0243818,0.806763646,0.741582172,-0.451733747,-0.685763942,,
41.8803215,17.39520174,78.53498914,29.97608364,47.0811341,0.848508279,0.346461945,-0.090186067,-0.395911183,,
42.96383384,17.34309945,78.34230051,29.68843086,48.08804472,0.736680552,0.391631475,0.033032277,-0.43249106,,
